coral_uid,host_species,host_species_md,cohort_label,taxon,taxon_label,n_months,n_present,total_count,occurrence,mean_abundance,intensity
1Pd6_control_T1,Pocillopora favosa,*Pocillopora favosa*,N1,trapezia,*Trapezia*,17,8,36,0.47058823529411764,2.1176470588235294,4.5
1Pd6_control_T2,Pocillopora favosa,*Pocillopora favosa*,N2,alpheus,*Alpheus*,9,4,8,0.4444444444444444,0.8888888888888888,2
1Pd6_control_T2,Pocillopora favosa,*Pocillopora favosa*,N2,trapezia,*Trapezia*,9,6,18,0.6666666666666666,2,3
1Pd7_control_T1,Pocillopora favosa,*Pocillopora favosa*,N1,alpheus,*Alpheus*,17,0,0,0,0,NA
1Pd7_control_T1,Pocillopora favosa,*Pocillopora favosa*,N1,trapezia,*Trapezia*,17,6,13,0.35294117647058826,0.7647058823529411,2.1666666666666665
1Pd7_control_T2,Pocillopora favosa,*Pocillopora favosa*,N2,alpheus,*Alpheus*,8,1,1,0.125,0.125,1
1Pd7_control_T2,Pocillopora favosa,*Pocillopora favosa*,N2,trapezia,*Trapezia*,8,7,16,0.875,2,2.2857142857142856
1Pd8_control_T1,Pocillopora favosa,*Pocillopora favosa*,N1,alpheus,*Alpheus*,17,0,0,0,0,NA
1Pd8_control_T1,Pocillopora favosa,*Pocillopora favosa*,N1,trapezia,*Trapezia*,17,6,12,0.35294117647058826,0.7058823529411765,2
1Pd8_control_T2,Pocillopora favosa,*Pocillopora favosa*,N2,alpheus,*Alpheus*,9,2,4,0.2222222222222222,0.4444444444444444,2
1Pd8_control_T2,Pocillopora favosa,*Pocillopora favosa*,N2,trapezia,*Trapezia*,9,8,18,0.8888888888888888,2,2.25
1Pd9_control_T1,Pocillopora favosa,*Pocillopora favosa*,N1,alpheus,*Alpheus*,17,4,5,0.23529411764705882,0.29411764705882354,1.25
1Pd9_control_T1,Pocillopora favosa,*Pocillopora favosa*,N1,trapezia,*Trapezia*,17,13,25,0.7647058823529411,1.4705882352941178,1.9230769230769231
1Pd9_control_T2,Pocillopora favosa,*Pocillopora favosa*,N2,alpheus,*Alpheus*,9,5,10,0.5555555555555556,1.1111111111111112,2
1Pd9_control_T2,Pocillopora favosa,*Pocillopora favosa*,N2,trapezia,*Trapezia*,9,8,18,0.8888888888888888,2,2.25
1Sp1_control_T1,Stylophora pistillata,*Stylophora pistillata*,N1,alpheus,*Alpheus*,17,0,0,0,0,NA
1Sp1_control_T1,Stylophora pistillata,*Stylophora pistillata*,N1,trapezia,*Trapezia*,17,16,32,0.9411764705882353,1.8823529411764706,2
1Sp1_control_T2,Stylophora pistillata,*Stylophora pistillata*,N2,alpheus,*Alpheus*,9,1,2,0.1111111111111111,0.2222222222222222,2
1Sp1_control_T2,Stylophora pistillata,*Stylophora pistillata*,N2,trapezia,*Trapezia*,9,9,18,1,2,2
1Sp10_control_T1,Stylophora pistillata,*Stylophora pistillata*,N1,alpheus,*Alpheus*,17,1,1,0.058823529411764705,0.058823529411764705,1
1Sp10_control_T1,Stylophora pistillata,*Stylophora pistillata*,N1,trapezia,*Trapezia*,17,15,28,0.8823529411764706,1.6470588235294117,1.8666666666666667
1Sp10_control_T2,Stylophora pistillata,*Stylophora pistillata*,N2,alpheus,*Alpheus*,11,0,0,0,0,NA
1Sp10_control_T2,Stylophora pistillata,*Stylophora pistillata*,N2,trapezia,*Trapezia*,11,10,20,0.9090909090909091,1.8181818181818181,2
1Sp2_control_T1,Stylophora pistillata,*Stylophora pistillata*,N1,alpheus,*Alpheus*,17,0,0,0,0,NA
1Sp2_control_T1,Stylophora pistillata,*Stylophora pistillata*,N1,trapezia,*Trapezia*,17,15,25,0.8823529411764706,1.4705882352941178,1.6666666666666667
1Sp2_control_T2,Stylophora pistillata,*Stylophora pistillata*,N2,alpheus,*Alpheus*,4,0,0,0,0,NA
1Sp2_control_T2,Stylophora pistillata,*Stylophora pistillata*,N2,trapezia,*Trapezia*,4,4,8,1,2,2
1Sp3_control_T1,Stylophora pistillata,*Stylophora pistillata*,N1,alpheus,*Alpheus*,13,0,0,0,0,NA
1Sp3_control_T1,Stylophora pistillata,*Stylophora pistillata*,N1,trapezia,*Trapezia*,13,2,3,0.15384615384615385,0.23076923076923078,1.5
1Sp4_control_T1,Stylophora pistillata,*Stylophora pistillata*,N1,alpheus,*Alpheus*,15,0,0,0,0,NA
1Sp4_control_T1,Stylophora pistillata,*Stylophora pistillata*,N1,trapezia,*Trapezia*,15,9,16,0.6,1.0666666666666667,1.7777777777777777
1Sp4_control_T2,Stylophora pistillata,*Stylophora pistillata*,N2,alpheus,*Alpheus*,1,0,0,0,0,NA
1Sp4_control_T2,Stylophora pistillata,*Stylophora pistillata*,N2,trapezia,*Trapezia*,1,0,0,0,0,NA
1Sp5_control_T1,Stylophora pistillata,*Stylophora pistillata*,N1,alpheus,*Alpheus*,17,1,1,0.058823529411764705,0.058823529411764705,1
1Sp5_control_T1,Stylophora pistillata,*Stylophora pistillata*,N1,trapezia,*Trapezia*,17,7,10,0.4117647058823529,0.5882352941176471,1.4285714285714286
1Sp5_control_T2,Stylophora pistillata,*Stylophora pistillata*,N2,alpheus,*Alpheus*,9,0,0,0,0,NA
1Sp5_control_T2,Stylophora pistillata,*Stylophora pistillata*,N2,trapezia,*Trapezia*,9,7,12,0.7777777777777778,1.3333333333333333,1.7142857142857142
1Sp6_control_T1,Stylophora pistillata,*Stylophora pistillata*,N1,alpheus,*Alpheus*,8,0,0,0,0,NA
1Sp6_control_T1,Stylophora pistillata,*Stylophora pistillata*,N1,trapezia,*Trapezia*,8,7,10,0.875,1.25,1.4285714285714286
1Sp7_control_T1,Stylophora pistillata,*Stylophora pistillata*,N1,alpheus,*Alpheus*,17,1,4,0.058823529411764705,0.23529411764705882,4
1Sp7_control_T1,Stylophora pistillata,*Stylophora pistillata*,N1,trapezia,*Trapezia*,17,12,21,0.7058823529411765,1.2352941176470589,1.75
1Sp7_control_T2,Stylophora pistillata,*Stylophora pistillata*,N2,alpheus,*Alpheus*,8,1,2,0.125,0.25,2
1Sp7_control_T2,Stylophora pistillata,*Stylophora pistillata*,N2,trapezia,*Trapezia*,8,5,9,0.625,1.125,1.8
1Sp8_control_T1,Stylophora pistillata,*Stylophora pistillata*,N1,alpheus,*Alpheus*,17,0,0,0,0,NA
1Sp8_control_T1,Stylophora pistillata,*Stylophora pistillata*,N1,trapezia,*Trapezia*,17,14,22,0.8235294117647058,1.2941176470588236,1.5714285714285714
1Sp8_control_T2,Stylophora pistillata,*Stylophora pistillata*,N2,alpheus,*Alpheus*,9,0,0,0,0,NA
1Sp8_control_T2,Stylophora pistillata,*Stylophora pistillata*,N2,trapezia,*Trapezia*,9,8,10,0.8888888888888888,1.1111111111111112,1.25
1Sp9_control_T1,Stylophora pistillata,*Stylophora pistillata*,N1,alpheus,*Alpheus*,17,0,0,0,0,NA
1Sp9_control_T1,Stylophora pistillata,*Stylophora pistillata*,N1,trapezia,*Trapezia*,17,15,26,0.8823529411764706,1.5294117647058822,1.7333333333333334
1Sp9_control_T2,Stylophora pistillata,*Stylophora pistillata*,N2,alpheus,*Alpheus*,4,0,0,0,0,NA
1Sp9_control_T2,Stylophora pistillata,*Stylophora pistillata*,N2,trapezia,*Trapezia*,4,2,4,0.5,1,2
5Pd1_control_T1,Pocillopora favosa,*Pocillopora favosa*,N1,alpheus,*Alpheus*,17,0,0,0,0,NA
5Pd1_control_T1,Pocillopora favosa,*Pocillopora favosa*,N1,trapezia,*Trapezia*,17,5,7,0.29411764705882354,0.4117647058823529,1.4
5Pd1_control_T2,Pocillopora favosa,*Pocillopora favosa*,N2,alpheus,*Alpheus*,3,0,0,0,0,NA
5Pd1_control_T2,Pocillopora favosa,*Pocillopora favosa*,N2,trapezia,*Trapezia*,3,0,0,0,0,NA
5Pd2_control_T1,Pocillopora favosa,*Pocillopora favosa*,N1,alpheus,*Alpheus*,17,3,5,0.17647058823529413,0.29411764705882354,1.6666666666666667
5Pd2_control_T1,Pocillopora favosa,*Pocillopora favosa*,N1,trapezia,*Trapezia*,17,13,23,0.7647058823529411,1.3529411764705883,1.7692307692307692
5Pd2_control_T2,Pocillopora favosa,*Pocillopora favosa*,N2,alpheus,*Alpheus*,3,2,4,0.6666666666666666,1.3333333333333333,2
5Pd2_control_T2,Pocillopora favosa,*Pocillopora favosa*,N2,trapezia,*Trapezia*,3,2,4,0.6666666666666666,1.3333333333333333,2
5Sp1_control_T1,Stylophora pistillata,*Stylophora pistillata*,N1,alpheus,*Alpheus*,17,0,0,0,0,NA
5Sp1_control_T1,Stylophora pistillata,*Stylophora pistillata*,N1,trapezia,*Trapezia*,17,14,26,0.8235294117647058,1.5294117647058822,1.8571428571428572
5Sp1_control_T2,Stylophora pistillata,*Stylophora pistillata*,N2,alpheus,*Alpheus*,11,0,0,0,0,NA
5Sp1_control_T2,Stylophora pistillata,*Stylophora pistillata*,N2,trapezia,*Trapezia*,11,10,24,0.9090909090909091,2.1818181818181817,2.4
5Sp2_control_T1,Stylophora pistillata,*Stylophora pistillata*,N1,alpheus,*Alpheus*,17,1,1,0.058823529411764705,0.058823529411764705,1
5Sp2_control_T1,Stylophora pistillata,*Stylophora pistillata*,N1,trapezia,*Trapezia*,17,16,40,0.9411764705882353,2.3529411764705883,2.5
5Sp2_control_T2,Stylophora pistillata,*Stylophora pistillata*,N2,alpheus,*Alpheus*,5,0,0,0,0,NA
5Sp2_control_T2,Stylophora pistillata,*Stylophora pistillata*,N2,trapezia,*Trapezia*,5,4,6,0.8,1.2,1.5
